Horodatage;Temperature;Densité;Viscosité_dynamique;Humidite;Ecart_de_viscosité;4_µm;5_µm;6_µm;10_µm;12_µm;14_µm;20_µm;21_µm;25_µm;30_µm;38_µm;50_µm;60_µm;70_µm;100_µm;200_µm;Total_de_particules
00:01;26.45049667;866.5908813;28.90923456;0.153808594;5.69152832;24139;9255;2173;1410;903;314;268;170;92;50;50;21;11;5;16;1;38877
00:02;26.40148163;865.5630493;29.01639068;0.153778076;4.663696289;31447;13908;4241;2970;2252;1248;1167;915;719;468;468;274;207;87;12;3;60383
00:03;26.34823036;866.8478394;28.92160183;0.153961182;5.306091309;32096;14195;4342;3062;2286;1244;1163;930;725;489;489;288;207;90;15;3;61621
00:04;26.31050301;866.2054443;29.21879198;0.153839111;5.177612305;28965;12884;4258;3129;2441;1474;1389;1166;907;617;617;351;266;134;15;2;58613
00:05;26.27303123;866.3339233;29.30876892;0.153717041;5.306091309;27811;10611;2532;1654;1044;374;333;212;133;82;82;35;26;15;9;2;44953
00:06;26.25724411;866.0769653;29.87581724;0.153656006;5.820007324;25557;9474;2255;1449;979;382;345;238;140;77;77;38;29;17;10;1;41067
00:07;26.20436859;867.4902344;29.15678034;0.1534729;5.434570313;28050;11683;3665;2607;1958;1076;1008;839;644;433;433;250;192;87;7;5;52932
00:08;26.14506912;866.4624023;29.39513559;0.153533936;5.434570313;26483;10448;3078;2180;1648;947;893;715;570;401;401;216;158;72;9;2;48219
00:09;26.07485199;867.6187134;29.23021023;0.153533936;5.049133301;24376;8995;2281;1537;1106;527;482;365;266;181;181;102;74;33;11;2;40517
00:10;26.00385857;867.6187134;29.20632553;0.153320313;5.563049316;27274;10629;3047;2127;1611;833;770;592;456;307;307;188;135;66;16;3;48358
00:11;25.94505501;867.2332764;29.89214216;0.153381348;5.049133301;24620;9238;2553;1773;1297;629;572;454;345;247;247;151;123;55;13;2;42317
00:12;25.90217018;866.3339233;29.90891319;0.153289795;5.434570313;21769;7510;1687;1040;654;232;191;122;70;31;31;15;12;3;16;1;33383
00:13;25.86852646;866.5908813;30.11892922;0.15335083;5.820007324;25899;10428;3580;2652;2134;1325;1246;1020;798;531;531;320;244;113;14;4;50835
00:14;25.83295441;867.3617554;29.9936044;0.153167725;4.920654297;27274;10479;2779;1851;1384;723;667;518;378;234;234;147;113;61;13;3;46855
00:15;25.78325462;867.8756714;29.62617413;0.153106689;5.049133301;25104;9756;3103;2231;1764;1062;1014;842;663;451;451;263;193;80;14;3;46991
00:16;25.73123932;867.2332764;30.07018566;0.153167725;5.563049316;20041;7953;2093;1328;919;409;375;282;203;123;123;73;64;36;9;2;34031
00:17;25.67947769;866.8478394;29.87155924;0.153259277;5.69152832;23991;8483;2267;1510;1086;547;501;392;275;168;168;93;73;38;7;5;39599
00:18;25.62141609;866.8478394;30.24445591;0.153137207;5.69152832;36430;17587;5506;3846;2827;1489;1384;1096;840;560;560;322;247;121;9;2;72824
00:19;25.56283951;867.4902344;29.68609938;0.153289795;5.948486328;27813;11459;3670;2636;2044;1233;1133;963;771;528;528;311;223;105;10;1;53427
00:20;25.51992798;866.7193604;30.42712389;0.153259277;5.69152832;25478;9843;2674;1768;1332;662;611;464;345;212;212;135;101;53;18;3;43908
00:21;25.4806118;867.2332764;30.03637819;0.153167725;5.049133301;20889;7145;1635;1021;669;213;186;125;71;35;35;14;9;1;19;2;32067
